title,price,property_type,location,publication_date,link
Immense villa à usage co,5 000,Maisons,El Menzah 5,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3358876
Terrain de 5560 m à kair,250 000,Terrain nu,Kairouan Sud,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3320862
Maison à bardo,360 000,Maisons,Le Bardo,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3320865
Un appartement s4 de 154,280 000,App. 5 pièc,Bab Bhar,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3346130
Villa inachevée notre da,1 250 000,Maisons,Mutuelle Ville,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3377512
Appart s2 meublé avec te,1 300,App. 3 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3381951
Villa a gammarth,5 000,Maisons,Gammart,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3162982
Studio s1 meublé indépan,850,App. 2 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3389052
Appartement s5 a la mars,3 800,App. 5 pièc,Marsa Safsaf,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3152965
Villa cité les pins,5 000,Maisons,Marsa Ennassim,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3205761
Appart s1 neuf haut stan,950,App. 2 pièc,El Menzah 9,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3378752
Penthouse meublé ou vide,6 000,App. 5 pièc,Gammart,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3143018
Terrain a la marsa sidi,645 000,Terrain nu,Sidi Daoud,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3147991
Appartement s3 jdc,2 300,App. 4 pièc,Jardins de Cart,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3200536
S plus 1 la nouvelle sou,220 000,App. 2 pièc,El Aouina,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3389468
Triplex s4 avec piscine,5 000,Duplex,Sidi Daoud,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3281205
Duplex haut standing ave,5 000,Duplex,Marsa Ennassim,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3281198
Villa avec jardin a la m,4 200,Maisons,Sidi Daoud,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3310763
S plus 3 la soukra tel 5,1 000,App. 4 pièc,La Soukra,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3389306
S plus 1 cite el wahat t,187 000,App. 2 pièc,El Aouina,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390339
A 10 min de de l'aéropor,1 500,App. 1 pièc,Riadh Landlous,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3206696
Local commercial a la cit,3 500,Surfaces,El Aouina,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3375148
Bureau 1 piece a el,450,Bureau,El Menzah 5,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3381870
Bureau 2 pieces a el,900,Bureau,El Menzah 6,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3367187
Garage a l'ariana,700,Autre,Ariana,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3380691
S1 meublé a tunis,550,App. 2 pièc,La Soukra,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=2964641
S2 meublé a soukra par s,1 600,App. 3 pièc,La Soukra,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3127344
S1 meublé la soukra,600,App. 1 pièc,La Soukra,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=2955015
Un appartement s3 luxueu,400 000,App. 3 pièc,La Soukra,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390582
Duplex raoued plage tel,210 000,Duplex,Raoued,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390581
S1  cite el wahat  tel 5,175 000,App. 1 pièc,El Aouina,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3387742
S3 cite wahat  tel 58258,1 350,App. 3 pièc,El Aouina,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3383166
Bureau 2 pieces hst,950,Bureau,El Menzah 5,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3366554
S 2   cite el wahat   te,280 000,App. 2 pièc,El Aouina,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390580
S3  etage  el aouina  te,1 550,App. 3 pièc,El Aouina,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390386
Bureau s plus 1 a el,1 500,Bureau,El Manar 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3379024
Centre d' esthétique a  boumh,1 700,Surfaces,Bou Mhel,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3353680
Font de commerce café a boumh,90 000,Autre,Bou Mhel,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3312771
Un appartement de rêve t,520 000,App. 2 pièc,Berge Du Lac,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390579
Villa avec jardin et  pi,7 000,Maisons,Gammart,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3310761
Villa meublé avec jardin,4 000,Maisons,Cite Du Stade,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3275166
Bureau h3 au centre urba,2 200,Bureau,Zone urbaine no,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3381380
Villa a la marsa avec un,7 500,Maisons,Cite Du Stade,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3275164
Villa golf gammarth,6 000,Maisons,Gammart,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3205759
Appartement s3 avec jard,3 000,App. 4 pièc,Marsa Ennassim,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3181763
Appartement s3 jamais ha,2 300,App. 4 pièc,Jardins de Cart,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3156384
Villa avec  piscine gamm,6 000,Maisons,Gammart,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3150345
Appartement vt s3 a la m,775 000,App. 4 pièc,Cite Du Stade,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3141401
Un appartement s1 me,1 800,App. 2 pièc,Sidi Daoud,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390578
Villa vt la soukra sidi,950 000,Maisons,Sidi Salah,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3143074
S2 au rdc de haut standi,360 000,App. 3 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3379501
S3 410 md a ennasr 2,410 000,App. 4 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3389919
Appartement s2 meublé au,2 400,App. 3 pièc,Jardins de Cart,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390577
Bureau s plus 2 a el,950,Bureau,El Manar 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3387808
Appart s3 zinia à l',320 000,App. 4 pièc,Ain Zaghouan,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3383740
Appartement jihen montfl,200 000,Maisons,Monfleury,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3263931
Appartement mourouj 2,110 000,App. 4 pièc,El Mourouj 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3365485
Appartement s1 mourouj 6,190 000,App. 2 pièc,El Mourouj,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3320292
A  bureau h1 neuf ref416,1 500,App. 1 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390576
Bureau open space a,1 000,Bureau,El Manar 1,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3387017
S 3   le kram   tel 5215,1 200,App. 3 pièc,Le Kram Est,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3389537
S 0   el wahat   tel 521,145 000,App. 1 pièc,El Aouina,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390575
S2 direct promoteur a me,470 000,App. 3 pièc,El Menzah 9,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3352132
S1 courte durée haut sta,630,App. 2 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3358850
Appartement s2 au jardin,1 800,App. 3 pièc,Jardins de Cart,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390574
S1 bien meublé,1 200,App. 2 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3362033
Bureau h2 à ennasr 2 180,1 800,Bureau,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3378367
Appart s2 neuf derrière,1 100,App. 2 pièc,Ain Zaghouan,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3388285
S2 neuf derrière carrefo,1 100,App. 2 pièc,El Aouina,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3388286
S 1  cite wahat   tel 52,175 000,App. 1 pièc,El Aouina,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390573
Local de 190m à dar fadh,1 300,Surfaces,La Soukra,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3380707
S3 jamais habité a ennas,1 700,App. 4 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3382486
S2 avec suite parentale,1 500,App. 3 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3382394
